center,pickup_longitude,pickup_latitude
0,-74.00384118092579,40.70627328214063
1,-73.99317574400419,40.731825585277626
2,-73.98665536128395,40.75148985544605
3,-73.97776347720597,40.76497369793918
4,-73.95237950101438,40.76876823162583
5,-73.96089443887638,40.79611178173172
6,-73.78528770387025,40.64758984310752
7,-73.86802921233259,40.770743219505675
8,0.0,0.0
9,0.0,40.742575
