prediction,pickup_longitude,pickup_latitude
3,-73.98866,40.774268
1,-74.006417,40.733275
4,-73.922728,40.706488
3,-73.96592,40.76206
1,-73.988195,40.737397
3,-73.972363,40.762138
2,-73.986712,40.755657
0,-74.004297,40.719517
2,-73.988697,40.760055
